date,equity_curve
2025-11-06,1201.4999999999973
2025-11-07,9455.5
2025-11-10,9890.5
2025-11-11,14098.5
2025-11-12,14677.0
2025-11-13,16508.5
2025-11-14,16807.0
2025-11-17,18904.5
2025-11-18,19404.25
2025-11-19,17823.6875
2025-11-20,16673.1875
2025-11-21,15723.0625
2025-11-24,5658.937500000002
2025-11-25,6699.4375
2025-11-26,37.31250000000091
2025-11-27,1018.3124999999998
2025-11-28,2564.562500000001
2025-12-01,7696.562499999999
2025-12-02,9036.312499999998
2025-12-03,5060.437499999996
2025-12-04,7213.937499999993
2025-12-05,3648.874999999992
2025-12-08,8384.937499999993
2025-12-09,6242.187499999993
2025-12-10,9470.18749999999
2025-12-11,3321.249999999991
2025-12-12,4659.687499999993
2025-12-15,3582.2499999999927
2025-12-16,4715.499999999994
2025-12-17,5518.874999999994
2025-12-18,5292.812499999993
2025-12-19,6520.562499999992
2025-11-06,1201.4999999999973
2025-11-07,9455.5
2025-11-10,9890.5
2025-11-11,14098.5
2025-11-12,14677.0
2025-11-13,16508.5
2025-11-14,16807.0
2025-11-17,18904.5
2025-11-18,19404.25
2025-11-19,17823.6875
2025-11-20,16673.1875
2025-11-21,15723.0625
2025-11-24,5658.937500000002
2025-11-25,6699.4375
2025-11-26,37.31250000000091
2025-11-27,1018.3124999999998
2025-11-28,2564.562500000001
2025-12-01,7696.562499999999
2025-12-02,9036.312499999998
2025-12-03,5060.437499999996
2025-12-04,7213.937499999993
2025-12-05,3648.874999999992
2025-12-08,8384.937499999993
2025-12-09,6242.187499999993
2025-12-10,9470.18749999999
2025-12-11,3321.249999999991
2025-12-12,4659.687499999993
2025-12-15,3582.2499999999927
2025-12-16,4715.499999999994
2025-12-17,5518.874999999994
2025-12-18,5292.812499999993
2025-12-19,6520.562499999992
2025-11-06,1201.4999999999973
2025-11-07,9455.5
2025-11-10,9890.5
2025-11-11,14098.5
2025-11-12,14677.0
2025-11-13,16508.5
2025-11-14,16807.0
2025-11-17,18904.5
2025-11-18,19404.25
2025-11-19,17823.6875
2025-11-20,16673.1875
2025-11-21,15723.0625
2025-11-24,5658.937500000002
2025-11-25,6699.4375
2025-11-26,37.31250000000091
2025-11-27,1018.3124999999998
2025-11-28,2564.562500000001
2025-12-01,7696.562499999999
2025-12-02,9036.312499999998
2025-12-03,5060.437499999996
2025-12-04,7213.937499999993
2025-12-05,3648.874999999992
2025-12-08,8384.937499999993
2025-12-09,6242.187499999993
2025-12-10,9470.18749999999
2025-12-11,3321.249999999991
2025-12-12,4659.687499999993
2025-12-15,3582.2499999999927
2025-12-16,4715.499999999994
2025-12-17,5518.874999999994
2025-12-18,5292.812499999993
2025-12-19,6520.562499999992
2025-11-06,1201.4999999999973
2025-11-07,9455.5
2025-11-10,9890.5
2025-11-11,14098.5
2025-11-12,14677.0
2025-11-13,16508.5
2025-11-14,16807.0
2025-11-17,18904.5
2025-11-18,19404.25
2025-11-19,17823.6875
2025-11-20,16673.1875
2025-11-21,15723.0625
2025-11-24,5658.937500000002
2025-11-25,6699.4375
2025-11-26,37.31250000000091
2025-11-27,1018.3124999999998
2025-11-28,2564.562500000001
2025-12-01,7696.562499999999
2025-12-02,9036.312499999998
2025-12-03,5060.437499999996
2025-12-04,7213.937499999993
2025-12-05,3648.874999999992
2025-12-08,8384.937499999993
2025-12-09,6242.187499999993
2025-12-10,9470.18749999999
2025-12-11,3321.249999999991
2025-12-12,4659.687499999993
2025-12-15,3582.2499999999927
2025-12-16,4715.499999999994
2025-12-17,5518.874999999994
2025-12-18,5292.812499999993
2025-12-19,6520.562499999992
